Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,Video Published,Comment Published
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,Every elected official talks about fixing infrastructure to get elected comes time to vote on it.  Lobbyist not enough corporate handouts don't vote on it,UgxMtFCtAoLF-aT3sjt4AaABAg,13,54,2021-06-05T12:31:36Z,2021-06-05T13:31:05Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,The only infrastructure Biden knows is putting together Barbie’s dream house.,Ugwh3TuiCJHakKYcFut4AaABAg,0,2,2021-06-05T12:31:36Z,2021-06-05T15:19:22Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,Jim Eagle and Corn Pop....I'd like to have a beer with those guys.,UgyZM_oOzTsCGA-WlPh4AaABAg,2,34,2021-06-05T12:31:36Z,2021-06-05T14:27:24Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,Nothing secures your future better than pissing tax payer dollars away.,UgxnuY7Ze0vO38tMJXZ4AaABAg,0,3,2021-06-05T12:31:36Z,2021-06-05T14:47:16Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,"Once again...""Build Back Better"" is the exact same slogan the World Economic Forum and ""The Great Reset"" agenda is using.  Think that's just coincidence?  I sure don't.",UgyplqpeijszEKBFEUF4AaABAg,4,9,2021-06-05T12:31:36Z,2021-06-05T15:04:53Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,Just keeps digging the hole deeper & deeper.,Ugz2mgoWGLSNVPvSoHJ4AaABAg,11,45,2021-06-05T12:31:36Z,2021-06-05T13:49:41Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,"*TRADE OFFER INCOMING*
YOU GIVE ME: YOUR MONEY

YOU RECEIVE: NOTHING",UgxhhLSjhokR8wakWvB4AaABAg,4,26,2021-06-05T12:31:36Z,2021-06-05T13:56:07Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,When Moscow Mitch talk you know it's a lie,UgwcxjB6JtvsYenKQZh4AaABAg,0,3,2021-06-05T12:31:36Z,2021-06-05T14:53:14Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,"I’m fine with no deal. The less the government is involved is fine with me. Government, stick to roads and military, the people can do the rest better.",UgwyyoM0pK_1AhI7rYR4AaABAg,7,7,2021-06-05T12:31:36Z,2021-06-05T14:09:26Z
Biden,CBS This Morning,"Biden, Democrats reject GOP infrastructure counteroffer","Negotiations between the White House and Republican lawmakers about President Biden's proposed infrastructure plan continue. However, both sides remain ...",CYG9lQpkYiM,"""build back better""
yeah, that catch phrase isn't very catching",Ugys93jQ67koQQ7xKnx4AaABAg,26,61,2021-06-05T12:31:36Z,2021-06-05T13:17:56Z
