Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,Video Published,Comment Published
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,"Got a question on the topic? Please share it in the comment section below and our experts will answer it for you. For Edureka's NLP with Python course curriculum, visit our website: http://bit.ly/2QtxQj6",Ugy12Ot0GdUHFZxEoeN4AaABAg,1,9,2018-10-16T05:26:04Z,2018-11-29T06:45:36Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,"Wow, easily the best explanation on NLP that i have found, thank you very much!!",Ugw52Nw_-MvCFkvijjl4AaABAg,0,38,2018-10-16T05:26:04Z,2020-04-21T07:58:47Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,A very good brief on NLP. Thanks,UgxbMh3SFruQggtbLhN4AaABAg,0,8,2018-10-16T05:26:04Z,2019-12-17T14:27:25Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,"This helped alot, thanks a ton",UgzTV3Ty0Eogk_xCRuh4AaABAg,0,1,2018-10-16T05:26:04Z,2019-09-08T17:49:30Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,Thank you Edureka! I learned a lot of things just by watching your channel. I hope I can build something useful out of this.,UgzJD3VRG2az7fHXlL94AaABAg,0,1,2018-10-16T05:26:04Z,2020-11-09T14:14:20Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,Excellent tutorial,Ugy6KZ3qldO5HQ3mkuN4AaABAg,0,0,2018-10-16T05:26:04Z,2019-01-02T01:58:41Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,a very good overview of the NLP field.,Ugw_HWP8RmxlU5hRwNx4AaABAg,0,0,2018-10-16T05:26:04Z,2020-08-27T11:29:06Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,"Thanks for sharing, very useful info",Ugyay74btkScADDdl8h4AaABAg,0,5,2018-10-16T05:26:04Z,2019-03-05T15:23:45Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,"Very good explanation, thank you so much!",UgyrQQpMgsTtJt6VoRh4AaABAg,0,1,2018-10-16T05:26:04Z,2021-01-13T03:08:52Z
NLP,edureka!,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Edureka,Subscribe to our channel to get video updates. Hit the subscribe button above.,5ctbvkAMQO4,Truly appreciate your crisp and concise explanation of what I thought was a difficult concept.,UgwojTOmVpARFvYdvvJ4AaABAg,0,8,2018-10-16T05:26:04Z,2020-07-06T12:44:03Z
