Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,Video Published,Comment Published
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Oh damn, he didn't bring his head-fly.",UgxP_MelTVUMphYS__h4AaABAg,1,51,2021-06-05T02:34:14Z,2021-06-05T04:58:13Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Narcissists would not be narcissists if they believed there were consequences for their actions.,UgxNrVEpd7mNX0lCvJV4AaABAg,11,177,2021-06-05T02:34:14Z,2021-06-05T03:04:58Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Not seeing eye to eye and wanting someone dead is a little different.,UgzH--XYJJqcW45732R4AaABAg,5,243,2021-06-05T02:34:14Z,2021-06-05T03:24:17Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Donald can’t even get 2,000 people a day to come to his failed social media blog!",UgxPj6tLPrN2gfp6tCB4AaABAg,13,207,2021-06-05T02:34:14Z,2021-06-05T03:03:29Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"""No-one was reading it' ahem. none of his audience can read. Heck he can't even read.",UgwdOcFpdXOP32xWEhB4AaABAg,6,54,2021-06-05T02:34:14Z,2021-06-05T06:23:36Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,He'll have to turn his ex-blog into another pigeon sanctuary.,Ugz2JKcOI30iZDnbJDR4AaABAg,0,24,2021-06-05T02:34:14Z,2021-06-05T05:45:00Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Just Braden: ""I see dead cryptos.""",UgwQ_7MbJ0IwCB6Ov9F4AaABAg,2,21,2021-06-05T02:34:14Z,2021-06-05T06:31:17Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Donald Judas Trump gets cancelled...the orange silence is golden!👌🎃,UgwOigsiEcymIJDm25Z4AaABAg,10,108,2021-06-05T02:34:14Z,2021-06-05T02:39:27Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,i feel bad for all you misfits who actually believed anything trump has ever said.Good luck.,UgzsiY1OhdZzsP4bXUd4AaABAg,21,170,2021-06-05T02:34:14Z,2021-06-05T03:22:52Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"If my boss incited a group of people that wanted to hang me, pretty sure I’d cut ties",UgzGqIIsg0nhBQY-oz54AaABAg,19,340,2021-06-05T02:34:14Z,2021-06-05T03:00:48Z
